user_id,city_id,first_name,last_name,phone,email
1,1371,Kamila,Maryadi,+62 (020) 791 8206,kamilamarbun@hotmail.com
2,3578,Makara,Nugroho,(036) 175-4472,makarahabibi@hotmail.com
3,3171,Perkasa,Permadi,+62 (0673) 868 8811,perkasahutapea@yahoo.com
4,3573,Bahuraksa,Prasetyo,0863236937,bahuraksamaulana@gmail.com
5,6471,Paiman,Gunarto,(0400) 944 6242,paimanpermata@yahoo.com
6,3171,Ibrahim,Budiyanto,(084) 346-7831,ibrahimhardiansyah@yahoo.com
7,3578,Novi,Rajata,+62-066-990-0124,noviwijayanti@hotmail.com
8,3171,Kariman,Nuraini,(089) 171-0410,karimansimanjuntak@gmail.com
9,5171,Harsaya,Anggriawan,+62-78-812-2832,harsayalaksmiwati@hotmail.com
10,3578,Anom,Rahayu,(083) 248 8845,anomzulaika@gmail.com
11,3578,Jaga,Anggriawan,+62 (33) 341-6294,jagalaksita@gmail.com
12,3471,Artawan,Melani,+62 (047) 063 4316,artawanyulianti@gmail.com
13,3471,Digdaya,Mulyani,(0824) 704-6606,digdayawahyuni@gmail.com
14,1371,Darmaji,Halimah,082 285 2528,darmajisitumorang@hotmail.com
15,3578,Ika,Wijayanti,(040) 211 6126,ikahutapea@yahoo.com
16,6472,Paramita,Padmasari,+62 (0975) 973 1017,paramitarahayu@hotmail.com
17,3573,Cakrajiya,Marbun,+62 (0639) 649 5069,cakrajiyapuspita@yahoo.com
18,3171,Ulya,Lestari,+62 (012) 496 2911,ulyalaksmiwati@hotmail.com
19,1375,Nilam,Suryono,+62-0340-171-5900,nilammustofa@yahoo.com
20,3573,Wira,Mandala,(069) 257 3923,wiramarpaung@yahoo.com
21,3273,Karya,Prayoga,+62-0856-436-7239,karyanamaga@gmail.com
22,7371,Jamalia,Irawan,+62 (069) 343 5773,jamaliapudjiastuti@hotmail.com
23,3471,Yuliana,Hutagalung,+62 (661) 694 8061,yulianahalim@hotmail.com
24,7371,Cengkal,Manullang,(0142) 942 2267,cengkalsuryatmi@hotmail.com
25,3171,Cemplunk,Winarno,+62-57-256-1160,cemplunkwidiastuti@yahoo.com
26,1375,Yani,Sirait,+62-501-688-4182,yaniyulianti@hotmail.com
27,5171,Putri,Situmorang,+62-079-887-1121,putrisimanjuntak@gmail.com
28,5171,Harjaya,Irawan,(0368) 874-0546,harjayasalahudin@gmail.com
29,1375,Cengkir,Hariyah,+62 (405) 310 6926,cengkirhutapea@hotmail.com
30,3172,Rahmat,Prasetya,+62 (569) 174-1349,rahmathidayanto@hotmail.com
31,1375,Asmuni,Puspita,(0343) 393-0136,asmunihastuti@yahoo.com
32,3174,Jessica,Puspasari,+62-069-820-0050,jessicawinarsih@yahoo.com
33,3173,Eli,Adriansyah,+62-0421-618-7736,elisudiati@yahoo.com
34,3171,Galiono,Dongoran,+62 (058) 628-0738,galionomandasari@hotmail.com
35,3273,Gandewa,Farida,(099) 930 1222,gandewawahyuni@yahoo.com
36,3175,Kemba,Mandala,(009) 743 7343,kembanasyidah@gmail.com
37,6471,Usman,Jailani,+62-34-461-0340,usmansiregar@gmail.com
38,3173,Amelia,Marbun,+62 (030) 226 8960,ameliabudiman@yahoo.com
39,5171,Cinthia,Santoso,+62 (538) 980-4598,cinthiausamah@yahoo.com
40,7371,Titi,Budiyanto,+62 (0432) 663 9893,titihutasoit@hotmail.com
41,3471,Aisyah,Situmorang,+62 (72) 640 7299,aisyahprasetya@gmail.com
42,3172,Eli,Kuswoyo,+62-083-714-5393,elipurnawati@hotmail.com
43,3173,Kamidin,Sitompul,+62 (22) 562-0004,kamidinwijayanti@hotmail.com
